Percentage_loss,Class
34.730988,Biomass
37.147038,Biomass
30.802895,Biomass
35.96216,Yield
32.47423,Biomass
36.674652,Yield
34.485016,Plant growth
32.74573,Biomass
36.702175,Yield
34.10135,Biomass
37.690346,Yield
37.385117,Yield
34.70603,Biomass
33.66003,Biomass
37.377743,Yield
28.559717,Biomass
42.502853,Plant growth
35.339355,Yield
39.642467,Yield
32.14624,Biomass
39.533928,Yield
36.60025,Yield
31.392962,Plant growth
36.056633,Yield
53.65069,Yield
51.178265,Plant growth
34.82851,Biomass
36.365936,Plant growth
54.709595,Biomass
37.209892,Biomass
37.13334,Biomass
37.221874,Yield
33.253674,Biomass
37.277283,Biomass
35.32074,Yield
34.78683,Plant growth
38.952972,Plant growth
47.729088,Plant growth
37.03708,Plant growth
37.18811,Yield
35.36623,Yield
33.273052,Biomass
37.25496,Yield
36.66113,Biomass
40.28048,Plant growth
36.030605,Plant growth
42.275555,Biomass
35.48179,Biomass
35.435093,Yield
35.443596,Plant growth
36.030384,Yield
36.1215,Yield
41.09956,Yield
40.10565,Yield
35.413696,Plant growth
37.599228,Biomass
34.10109,Biomass
33.96284,Biomass
39.758675,Yield
37.089165,Yield
34.876892,Biomass
47.722157,Plant growth
47.731346,Plant growth
37.51506,Biomass
37.75463,Yield
34.201126,Biomass
37.75463,Yield
34.438824,Biomass
35.464825,Biomass
35.24522,Yield
30.89651,Plant growth
35.96216,Yield
36.674652,Yield
35.12669,Biomass
35.047123,Biomass
42.22263,Biomass
33.426594,Biomass
30.432247,Biomass
36.971836,Biomass
31.551453,Plant growth
37.601887,Yield
37.18811,Yield
34.211636,Biomass
48.244522,Plant growth
34.421562,Biomass
26.566267,Biomass
38.957703,Biomass
36.939926,Biomass
37.242718,Biomass
37.774498,Plant growth
40.590694,Plant growth
33.264927,Biomass
35.24556,Biomass
37.5505,Plant growth
34.802105,Biomass
37.944035,Yield
37.58846,Yield
38.151394,Biomass
37.424107,Yield
35.806717,Yield
34.10871,Biomass
37.109856,Biomass
34.722157,Plant growth
31.908745,Plant growth
37.23039,Biomass
38.097187,Yield
40.478672,Biomass
41.679024,Plant growth
33.27902,Biomass
33.8761,Biomass
34.20987,Biomass
35.627174,Biomass
31.761398,Plant growth
37.826298,Plant growth
31.950548,Biomass
36.58964,Yield
33.899734,Biomass
35.10403,Yield
37.69675,Biomass
35.610184,Plant growth
36.047974,Biomass
33.8761,Biomass
33.281643,Biomass
36.283447,Biomass
40.49257,Biomass
36.94633,Yield
39.58309,Yield
33.371197,Biomass
36.741493,Yield
37.180187,Biomass
55.873035,Biomass
37.555954,Biomass
37.107533,Yield
34.30748,Biomass
30.621868,Plant growth
37.559822,Yield
32.399185,Biomass
37.601887,Yield
35.35074,Yield
37.092712,Yield
35.097443,Biomass
37.377743,Yield
34.228413,Biomass
38.415913,Plant growth
37.66938,Yield
54.796185,Biomass
38.085743,Plant growth
37.601887,Yield
37.385117,Yield
40.49708,Biomass
43.49269,Plant growth
38.7912,Plant growth
31.24696,Biomass
37.107533,Yield
40.537415,Plant growth
37.551075,Yield
37.55625,Yield
34.507538,Biomass
38.013844,Biomass
35.61899,Biomass
36.456905,Plant growth
41.01814,Yield
37.70886,Yield
33.83171,Biomass
33.261414,Biomass
31.435364,Plant growth
34.694485,Biomass
35.434326,Yield
34.068844,Biomass
40.236507,Yield
36.674652,Yield
40.467964,Plant growth
38.860477,Biomass
33.91655,Biomass
45.66102,Plant growth
37.616905,Biomass
40.96493,Yield
42.25059,Biomass
53.777046,Yield
37.597168,Biomass
36.941483,Yield
33.925026,Biomass
36.673172,Biomass
27.9425,Yield
37.09727,Biomass
35.106842,Biomass
35.810303,Biomass
37.58846,Yield
36.923668,Yield
32.367756,Plant growth
33.86178,Plant growth
34.64307,Plant growth
32.063824,Biomass
37.721924,Yield
